stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.294436,1,53235,-122.856085,3270,,,,Westbound Ioco Rd @ Barber St,0,BUS ZN
49.296265,1,53236,-122.860284,3271,,,,Westbound Ioco Rd @ 1100 Block,0,BUS ZN
49.318242,2,53243,-122.855614,3278,,,,Northbound Sunnyside Rd @ Eaglecrest Dr,0,BUS ZN
49.1707,1,56418,-122.813039,6479,,,,Westbound Fraser Hwy @ 148 St,0,BUS ZN
49.28975,2,53284,-122.833217,3319,,,,Northbound Heritage Mountain Blvd @ Ravine Dr,0,BUS ZN
49.284992,1,53283,-122.828651,3318,,,,Northbound Heritage Mountain Blvd @ Ungless Way,0,BUS ZN
49.119308,1,55530,-122.856392,5585,,,,Northbound 132 St @ 64 Ave,0,BUS ZN
49.28477,1,53280,-122.8189,3315,,,,Westbound Guildford Way @ Falcon Dr,0,BUS ZN
49.284287,1,53279,-122.810431,3314,,,,Westbound Guildford Way @ Lansdowne Dr,0,BUS ZN
49.282831,1,53282,-122.827884,3317,,,,Northbound Ioco Rd @ Newport Dr,0,BUS ZN
49.280394,1,50021,-123.103799,21,,,,Eastbound E Pender St @ Carrall St,0,BUS ZN
49.108745,2,55525,-122.856616,5580,,,,Northbound 132 St @ Hwy 10,0,BUS ZN
49.118956,1,56412,-122.673949,6473,,,,Eastbound 64 Ave @ 198 St,0,BUS ZN
49.11897,1,56411,-122.676339,6472,,,,Eastbound 64 Ave @ 197 St,0,BUS ZN
49.110864,1,55270,-122.730197,5322,,,,Northbound 177B St @ 59A Ave,0,BUS ZN
49.167843,1,56410,-122.806304,6471,,,,Eastbound Fraser Hwy @ 150 St,0,BUS ZN
49.111364,1,55271,-122.723195,5323,,,,Eastbound 60 Ave @ 180 St,0,BUS ZN
49.169833,1,56409,-122.811446,6470,,,,Eastbound Fraser Hwy @ 148 St,0,BUS ZN
49.165047,1,58627,-122.798497,6477,,,,Westbound Fraser Hwy @ Fleetwood Way,0,BUS ZN
49.119098,1,56415,-122.674101,6476,,,,Westbound 64 Ave @ 198 St,0,BUS ZN
49.264484,1,50060,-123.168205,60,,,,Northbound Macdonald St @ W Broadway,0,BUS ZN
49.266101,1,50061,-123.168316,61,,,,Northbound Macdonald St @ W 7th Ave,0,BUS ZN
49.268721,1,50063,-123.168221,63,,,,Northbound Macdonald St @ W 4th Ave,0,BUS ZN
49.270491,1,50064,-123.168159,64,,,,Northbound Macdonald St @ W 2nd Ave,0,BUS ZN
49.272516,1,50069,-123.154543,69,,,,Eastbound Cornwall Ave @ Yew St,0,BUS ZN
49.118937,1,56413,-122.671591,6474,,,,Eastbound 64 Ave @ 19900 Block,0,BUS ZN
49.2812,1,50504,-123.087667,508,,,,Westbound E Hastings St @ Hawks Ave,0,BUS ZN
