from_trip_id,to_stop_id,from_stop_id,to_trip_id,transfer_type,min_transfer_time
,8035,859,,2,480
,6901,9577,,2,600
,11274,11337,,2,360
,2671,1173,,0,240
,12947,8366,,0,240
,5890,8055,,0,240
,8282,8485,,2,300
,834,2044,,0,240
,6455,5553,,0,240
,6590,9564,,0,240
,5345,7150,,2,300
,11588,972,,0,240
,9112,31,,2,300
,924,1361,,0,240
,12548,11357,,2,300
,4972,4961,,0,240
,1231,8916,,0,240
,655,1347,,0,240
,11352,11088,,2,300
,1394,12827,,2,300
,3852,3852,,0,240
,4304,4304,,0,240
,12567,8759,,2,300
,1300,10196,,2,480
,6340,6088,,0,240
,12211,12228,,0,240
,8063,2354,,0,240
,942,3428,,2,300
,11712,8064,,0,240
,11124,6073,,0,240
,2023,1659,,0,240
,7214,7207,,0,240
,11260,11221,,2,420
,7046,6991,,0,240
,12267,3315,,0,240
,774,863,,0,240
,8913,8754,,2,360
,12793,10890,,0,240
,6351,6230,,0,240
,4427,4329,,2,300
,13096,11294,,2,360
,1697,911,,0,240
,12168,12626,,0,240
,5183,5815,,2,300
,6222,6146,,0,240
,4242,4459,,0,240
,8688,8755,,0,240
,8913,8763,,2,360
,5826,5826,,0,240
,1510,122,,2,300
,857,1143,,2,300
,5797,5781,,0,240
,6077,5700,,0,240
,11232,8989,,2,300
,11712,11713,,0,240
,12951,12901,,0,240
,6172,6172,,0,240
,2221,2221,,0,240
,11861,5593,,2,300
,10892,10885,,0,240
,8024,7743,,2,120
,2153,267,,2,360
,7639,8055,,0,240
,9582,8617,,2,300
,6781,6704,,2,480
,8552,8575,,0,240
,9186,9199,,0,240
,902,1092,,0,240
,10308,12637,,2,300
,11523,31,,2,480
,12647,12235,,0,240
,3195,12235,,0,240
,2738,3428,,2,300
,11806,11808,,0,240
,3533,8032,,0,240
,11124,6019,,0,240
,2428,2479,,2,300
,10967,213,,0,240
,12054,10823,,0,240
,11243,11707,,2,300
,8752,11095,,2,300
,8573,8573,,0,240
,4384,4384,,0,240
,6987,9849,,2,360
,7719,10310,,2,420
,9067,178,,0,240
,96,11616,,0,240
,5148,5148,,0,240
,1061,1544,,0,240
,6462,5644,,0,240
,11387,13077,,2,360
,6340,6195,,2,300
,5700,5464,,0,240
,12951,12902,,0,240
,77,11616,,0,240
,8680,10021,,0,240
,8735,8853,,0,240
,5693,5737,,0,240
,9570,6675,,0,240
,3628,3628,,0,240
,7827,8029,,0,240
,232,11529,,2,300
,11606,11589,,0,240
,11280,1586,,2,300
,3067,3394,,0,240
,11616,77,,0,240
,3624,2189,,0,240
,8751,8674,,2,300
,8659,8680,,0,240
,12498,8024,,2,120
,2326,1444,,0,240
,2821,11697,,2,360
,11279,12764,,2,300
,11032,11998,,0,240
,5667,5122,,0,240
,7469,6736,,2,120
,2156,9103,,2,300
,1198,666,,0,240
,5954,5803,,0,240
,7768,8028,,2,120
,40,35,,2,300
,78,8038,,2,540
,81,81,,2,180
,8689,8691,,0,240
,35,8078,,2,300
,11357,12548,,2,300
,1130,12667,,2,300
,2671,8068,,2,300
,11759,10961,,2,360
,6149,6219,,0,240
,8676,12147,,0,240
,2252,10929,,0,240
,6120,6107,,0,240
,26,11542,,0,240
,6051,11075,,0,240
,12320,12230,,0,240
,2110,1754,,2,360
,6475,6475,,0,240
,12873,7025,,2,360
,859,859,,0,240
,8367,8412,,2,300
,11122,5623,,0,240
,5719,5037,,0,240
,7475,7464,,2,360
,2696,2688,,0,240
,8035,10553,,2,480
,3927,12234,,0,240
,2120,1143,,2,300
,8055,6458,,0,240
,2892,11307,,0,240
,12363,12600,,0,240
,2264,11204,,0,240
,9129,8076,,2,360
,11799,11805,,0,240
,9303,9303,,0,240
,689,728,,0,240
,1561,1561,,0,240
,4065,4371,,0,240
,11526,11441,,2,360
,9849,6969,,2,420
,1086,1570,,0,240
,12393,8071,,0,240
,6068,6479,,0,240
,10888,10885,,0,240
,12260,6103,,2,300
,12681,76,,2,300
,4243,4514,,0,240
,10360,11276,,2,300
,4972,4972,,0,240
,11882,10881,,0,240
,10865,4471,,0,240
,8563,8070,,0,240
,3826,3903,,2,420
,2860,2951,,2,360
,11874,12567,,2,300
,2390,2390,,0,240
,793,11010,,0,240
,1808,1808,,0,240
,7095,7214,,0,240
,9307,13039,,2,300
,5845,9926,,2,300
,12822,12749,,2,360
,11088,11278,,2,300
,5464,5464,,0,240
,483,419,,0,240
,3443,8818,,2,300
,963,8139,,0,240
,361,361,,0,240
,5844,5862,,0,240
,2057,863,,0,240
,8755,12147,,0,240
,3244,3154,,2,300
,5628,5629,,0,240
,2263,1442,,0,240
,3881,3852,,0,240
,5585,6464,,0,240
,9023,11075,,0,240
,13013,5542,,0,240
,7658,8029,,2,120
,1580,847,,0,240
,4887,542,,0,240
,5805,5288,,0,240
,2095,12172,,2,300
,5675,5117,,0,240
,12647,3195,,0,240
,8860,8761,,0,240
,4882,12036,,2,480
,6479,6006,,2,300
,11275,11337,,2,360
,2000,1218,,0,240
,5667,6456,,0,240
,8754,8073,,2,360
,81,80,,2,360
,12535,12535,,0,240
,12332,11940,,0,240
,6951,6951,,0,240
,1679,2028,,0,240
,667,702,,0,240
,12655,10890,,0,240
,10880,10881,,0,240
,12764,11352,,2,300
,669,668,,0,240
,11438,859,,2,360
,6019,11124,,2,300
,12210,12228,,0,240
,8761,11095,,2,300
,8823,7023,,0,240
,10958,10961,,2,300
,2414,8049,,2,300
,11794,1614,,2,420
,7259,12173,,0,240
,6068,6006,,2,300
,8035,11303,,2,480
,6094,6094,,0,240
,7719,10299,,2,420
,5244,4939,,0,240
,35,938,,2,300
,2941,2928,,0,240
,76,76,,0,240
,7302,7302,,0,240
,5464,11860,,0,240
,13013,8854,,0,240
,10819,4750,,0,240
,8035,11441,,2,480
,2227,7025,,2,300
,5364,5342,,0,240
,12693,10865,,0,240
,6174,6088,,2,300
,9929,5845,,2,300
,317,361,,0,240
,8023,7650,,0,240
,21,10470,,2,360
,392,202,,2,300
,13007,11292,,2,300
,4949,5074,,0,240
,6841,6840,,2,300
,11827,11827,,0,240
,4054,4016,,0,240
,1617,1190,,0,240
,1410,9125,,0,240
